party,seats,sq_cabinet,sq_pm,election_year,base,miw_new,banzhaf,shapley,splus,country,cabinet_id,party_id,cabinet_name,caretaker,cabinet_party,prime_minister,left_rightx,left_righty,cabinet_seats,total_cabinet_size,party_count,cab_count,party_name,party_name_english,country_id,election_id,seats_share,election_date,start_date,post_election,enpp,mingov,bicameral,largest_parl,largest_cab,lag_largest_parl,lag_largest_cab,seats_total,miw_proportion,cabinet_proportion,seats_proportion,W,A,B,B_star,C,D,E,country_dummy1,country_dummy2,country_dummy3,country_dummy4,country_dummy5,country_dummy6,country_dummy7,country_dummy8,country_dummy9,country_dummy10,country_dummy11,country_dummy12,country_dummy13,coalition_total
NONE,5,0,0,2007,5,2,0.069767445,0.085714288,0.058340356,IRL,864,30,Ahern III,0,0,0,,,0,15,7,3,no party affiliation,no party affiliation,37,190,3.0120482,5/24/07,6/14/07,1,3.0063276,0,1,0,0,0,0,169,0.11764706,0,0.029585799,85,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
DNA,64,1,1,2009,64,4,0.46153846,0.46666667,0.43794692,NOR,551,104,Stoltenberg III,0,1,1,3.2388889,3,12,21,7,3,Det norske Arbeiderparti,Norwegian Labour Party,9,285,37.869823,9/24/09,10/20/09,1,4.0667806,0,0,1,1,1,1,169,0.36363637,0.5714286,0.37869823,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,86
KOK,50,1,0,2007,50,5,0.30769232,0.30952382,0.29363957,FIN,277,1118,Vanhanen II,0,1,0,7.1597778,7.2,8,20,9,4,Kansallinen Kokoomus _ Samlingspartiet,National Coalition Party,67,314,25,3/18/07,4/19/07,1,5.1308365,0,0,0,0,0,0,199,0.2631579,0.40000001,0.25125629,100,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,125
ADR,5,0,0,1994,5,1,0.07692308,0.06666667,0.051091559,LUX,222,1582,Santer III,0,0,0,6.3157895,,0,15,5,2,Alternativ Demokratesch Reformpartei _ Parti r_formiste d'alternative d_mocratique _ Alternative Demokratische Reformpartei,Alternative Democratic Reform Party,7,306,8.333333,6/12/94,7/13/94,1,3.8961039,0,0,0,0,0,0,60,0.11111111,0,0.083333336,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
FPO,18,1,0,1986,18,1,0.33333334,0.33333334,0.31392694,AUT,873,50,Vranitzky II,0,0,0,8.2955556,6.8,0,17,4,2,Freiheitliche Partei sterreichs,Freedom Party of Austria,59,235,9.8360653,11/23/86,1/21/87,1,2.633404,0,1,0,0,0,0,183,0.33333334,0,0.098360658,92,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
PSD,81,0,0,2009,81,2,0.23076923,0.23333333,0.21660167,PRT,858,1273,Socrates II,0,0,0,6.1769444,,0,17,5,1,Partido Social Democrata,Social Democratic Party,63,405,35.217392,9/27/09,10/26/09,1,3.13166,1,0,0,0,0,0,230,0.22222222,0,0.35217392,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
DLP,4,0,0,1997,4,3,0.04878049,0.071428575,0.052325204,IRL,126,1580,Ahern I,0,0,0,1.8888889,,0,16,9,2,Democratic Left,Democratic Left,37,316,2.4096386,6/6/97,6/26/97,1,2.9926152,1,1,0,0,0,0,165,0.10344828,0,0.024242423,83,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
CDA,54,1,1,1989,54,15,0.34588236,0.3718254,0.35640135,NLD,148,235,Lubbers III,0,1,1,5.8017777,5.7,6,14,9,2,Christen Democratisch Appl,Christian Democrats,8,627,36,9/6/89,11/7/89,1,3.7525017,0,1,1,1,1,1,150,0.29411766,0.42857143,0.36000001,76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,103
FDP,43,1,0,1998,43,1,0.16666667,0.16666667,0.12618405,DEU,107,543,Schroeder I,0,0,0,5.8064444,5.1,0,17,6,2,Freie Demokratische Partei,Free Democratic Party,54,679,6.4275036,9/27/98,10/27/98,1,3.3013034,0,1,0,0,0,0,669,0.2,0,0.064275034,335,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
OVP,60,1,0,1990,60,1,0.33333334,0.33333334,0.28412992,AUT,524,1013,Vranitzky III,0,1,0,6.3666666,5.8,8,16,4,2,sterreichische Volkspartei,Austrian People's Party,59,325,32.786884,10/7/90,12/17/90,1,2.9930289,0,1,0,0,0,0,183,0.33333334,0.53333336,0.32786885,92,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,140
CDS-PP,15,0,0,1995,15,1,0.16666667,0.16666667,0.12483919,PRT,265,251,Guterres I,0,0,0,7.935,,0,21,5,1,Partido Popular,People's Party,63,216,6.521739,10/1/95,10/28/95,1,2.5572851,1,0,0,0,0,0,230,0.2,0,0.065217391,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
AB,8,1,0,1987,8,3,0.13333334,0.13333334,0.11806605,ISL,279,1360,Palsson,0,0,0,2.2222222,,0,11,7,3,Al___ubandalagi_,People's Alliance,56,673,12.698413,4/25/87,7/8/87,1,5.3418574,0,0,0,0,0,0,63,0.14285715,0,0.12698413,32,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,
FP,17,0,0,1998,17,1,0.054545455,0.052380953,0.037319362,SWE,503,892,Persson II,0,0,0,6.1551111,5.5,0,22,7,1,Folkpartiet,Liberals,35,33,4.8710604,9/21/98,10/7/98,1,4.293757,1,0,0,0,0,0,349,0.06666667,0,0.048710603,175,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
F,12,1,0,2003,12,1,0.33333334,0.33333334,0.28784621,ISL,130,1455,Oddsson IV,0,1,0,3.8888889,,5,12,5,2,Frams_knarflokkurinn,Progressive Party,56,178,19.047619,5/10/03,5/23/03,1,3.7128158,0,0,0,0,0,0,63,0.33333334,0.41666666,0.19047619,32,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34
F,7,1,0,2007,7,1,0.16666667,0.16666667,0.12627737,ISL,558,1455,Haarde II,0,0,0,3.8888889,,0,12,5,2,Frams_knarflokkurinn,Progressive Party,56,265,11.111111,5/12/07,5/24/07,1,3.6246576,0,0,0,0,0,0,63,0.2,0,0.11111111,32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
FPO,42,0,0,1994,42,1,0.33333334,0.33333334,0.31424025,AUT,294,50,Vranitzky IV,0,0,0,8.2955556,6.8,0,17,5,2,Freiheitliche Partei sterreichs,Freedom Party of Austria,59,66,22.950819,10/9/94,11/29/94,1,3.7280419,0,1,0,0,0,0,183,0.33333334,0,0.22950819,92,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
NONE,1,0,0,1987,1,1,0.027027028,0.047619049,0.010462763,IRL,77,30,Haughey III,0,0,0,,,0,16,7,1,no party affiliation,no party affiliation,37,43,1.8072289,2/17/87,3/10/87,1,2.8921075,1,1,0,0,0,0,165,0.090909094,0,0.006060606,83,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
GRUE,47,0,0,1998,47,1,0.16666667,0.16666667,0.14100757,DEU,107,772,Schroeder I,0,1,0,2.8744444,2.8,4,17,6,2,BÎÙndnis 90 / Die GrÎÙnen,Alliance 90 / Greens,54,679,7.0254111,9/27/98,10/27/98,1,3.3013034,0,1,0,0,0,0,669,0.2,0.25,0.07025411,335,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,345
PSD,105,0,0,2002,105,7,0.46000001,0.46666667,0.44477051,PRT,381,1273,Barroso,0,1,1,6.1769444,,16,18,6,2,Partido Social Democrata,Social Democratic Party,63,657,45.652172,3/17/02,4/6/02,1,2.5742092,0,0,1,1,0,0,230,0.34999999,0.8888889,0.45652175,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,119
SAM,20,0,0,2003,20,1,0.33333334,0.33333334,0.2996617,ISL,130,1006,Oddsson IV,0,0,0,4.2982458,,0,12,5,2,Samfylkingin,Social Democratic Alliance,56,178,31.746031,5/10/03,5/23/03,1,3.7128158,0,0,0,0,0,0,63,0.33333334,0,0.31746033,32,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
KD,33,0,0,2002,33,2,0.086956523,0.10476191,0.083869472,SWE,641,282,Persson III,0,0,0,7.0141667,,0,25,7,1,Kristdemokraterna,Christian Democrats,35,156,9.4555874,9/15/02,10/21/02,1,4.2252402,1,0,0,0,0,0,349,0.13333334,0,0.094555877,175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
SAP,161,0,0,1994,161,5,0.83783782,0.71428573,0.69193554,SWE,528,904,Carlsson IV,0,1,1,3.3653333,2.9,22,22,7,1,Socialdemokraterna,Social Democrats,35,412,46.131805,9/18/94,10/6/94,1,3.5041573,1,0,1,1,1,0,349,0.45454547,1,0.46131805,175,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,161
PD,6,0,0,1989,6,1,0.090909094,0.1,0.074579328,IRL,215,651,Haughey IV,0,1,0,7.9902778,,2,17,8,2,An Pairti Daonlathach,Progressive Democrats,37,590,3.6144578,6/15/89,7/12/89,1,2.9687567,1,1,0,0,0,0,164,0.14285715,0.11764706,0.036585364,83,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,84
PSD,88,1,1,1995,88,1,0.16666667,0.16666667,0.12485585,PRT,265,1273,Guterres I,0,0,0,6.1769444,,0,21,5,1,Partido Social Democrata,Social Democratic Party,63,216,38.260868,10/1/95,10/28/95,1,2.5572851,1,0,0,0,1,1,230,0.2,0,0.38260868,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
SJ,26,1,1,1999,26,2,0.5,0.5,0.4577409,ISL,177,1342,Oddsson III,0,1,1,6.9444444,,6,12,5,2,Sj_lfst__isflokkurinn,Independence Party,56,592,41.26984,5/8/99,5/28/99,1,3.454308,0,0,1,1,1,1,63,0.40000001,0.5,0.41269842,32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38
H,28,1,1,1993,28,2,0.15384616,0.16666667,0.14703733,NOR,572,1435,Brundtland IV,0,0,0,7.7388889,7.7,0,20,8,1,Hèyre,Conservative Party,9,404,16.969696,9/13/93,9/13/93,1,4.0411162,1,0,0,0,0,0,165,0.18181819,0,0.16969697,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
BZO,7,0,0,2006,7,1,0.14285715,0.13333334,0.1039996,AUT,583,1536,Gusenbauer,0,0,0,8.83,,0,15,5,2,Bªndnis Zukunft sterreich,Alliance for the Future of Austria,59,197,3.8251367,10/1/06,1/11/07,1,3.3789728,0,1,0,0,0,0,183,0.14285715,0,0.038251366,92,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
SP,32,1,0,1993,32,2,0.15384616,0.16666667,0.14703733,NOR,572,702,Brundtland IV,0,0,0,5.3055556,5.8,0,20,8,1,Senterpartiet,Centre Party,9,404,19.39394,9/13/93,9/13/93,1,4.0411162,1,0,0,0,0,0,165,0.18181819,0,0.19393939,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
SV,15,0,0,2005,15,2,0.12727273,0.11904762,0.089648895,NOR,693,81,Stoltenberg II,0,1,0,1.4611111,1.2,5,19,7,3,Sosialistisk Venstreparti,Socialist Left Party,9,3,8.8757401,9/12/05,10/17/05,1,4.5617313,0,0,0,0,0,0,169,0.13333334,0.2631579,0.088757396,85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,87
SAP,156,1,1,1988,156,4,0.75,0.66666669,0.62571412,SWE,220,904,Carlsson II,0,1,1,3.3653333,2.9,15,15,6,0,Socialdemokraterna,Social Democrats,35,428,44.699139,9/18/88,9/18/88,1,3.665062,1,0,1,1,1,1,349,0.44444445,1,0.44699141,175,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,156
PS,115,1,1,1999,115,5,0.8611111,0.83333331,0.7914592,PRT,5,725,Guterres II,0,1,1,4.0527778,,17,23,6,1,Partido Socialista,Socialist Party,63,352,50,10/10/99,10/25/99,1,2.6131198,1,0,1,1,1,1,230,0.5,1,0.5,116,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,115
FPO,33,0,0,1990,33,1,0.33333334,0.33333334,0.28412992,AUT,524,50,Vranitzky III,0,0,0,8.2955556,6.8,0,16,4,2,Freiheitliche Partei sterreichs,Freedom Party of Austria,59,325,18.032787,10/7/90,12/17/90,1,2.9930289,0,1,0,0,0,0,183,0.33333334,0,0.18032786,92,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
AB,9,0,0,1991,9,1,0.16666667,0.16666667,0.13886945,ISL,640,1360,Oddsson I,0,0,0,2.2222222,,0,11,5,2,Al___ubandalagi_,People's Alliance,56,274,14.285714,4/20/91,4/30/91,1,3.7764034,0,0,0,0,0,0,63,0.2,0,0.14285715,32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
PD,4,0,0,1997,4,3,0.04878049,0.071428575,0.052322704,IRL,126,651,Ahern I,0,1,0,7.9902778,,2,16,9,2,An Pairti Daonlathach,Progressive Democrats,37,316,2.4096386,6/6/97,6/26/97,1,2.9926152,1,1,0,0,0,0,165,0.10344828,0.125,0.024242423,83,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,84
FR,10,0,0,1993,10,1,0.07692308,0.06666667,0.050821941,NOR,572,351,Brundtland IV,0,0,0,9.2444444,9.4,0,20,8,1,Fremskrittspartiet,Progress Party,9,404,6.060606,9/13/93,9/13/93,1,4.0411162,1,0,0,0,0,0,165,0.090909094,0,0.060606062,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
SJF,1,0,0,1987,1,1,0.033333331,0.033333331,0.016302895,ISL,279,817,Palsson,0,0,0,,,0,11,7,3,Samt_k um jatnr_tti og f_lagshyggju,Association for Equality and Justice,56,673,1.5873016,4/25/87,7/8/87,1,5.3418574,0,0,0,0,0,0,63,0.047619049,0,0.015873017,32,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,
KRF,10,0,0,2009,10,1,0.07692308,0.06666667,0.051007278,NOR,551,1538,Stoltenberg III,0,0,0,6.1333333,6.1,0,21,7,3,Kristelig Folkeparti,Christian Democratic Party,9,285,5.9171596,9/24/09,10/20/09,1,4.0667806,0,0,0,0,0,0,169,0.090909094,0,0.059171598,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
LINKE,76,0,0,2009,76,1,0.16666667,0.16666667,0.13022031,DEU,472,1227,Merkel II,0,0,0,1.1830556,,0,17,6,3,Die Linke,The Left,54,93,12.21865,9/27/09,10/28/09,0,4.8344789,0,1,0,0,0,0,622,0.2,0,0.1221865,312,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
OVP,52,1,0,1995,52,1,0.33333334,0.33333334,0.30255806,AUT,323,1013,Vranitzky V,0,1,0,6.3666666,5.8,8,15,5,2,sterreichische Volkspartei,Austrian People's Party,59,162,28.4153,12/17/95,3/12/96,1,3.4858956,0,1,0,0,0,0,183,0.33333334,0.5714286,0.28415301,92,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,123
CDU/CSU,294,1,1,1994,294,2,0.5,0.5,0.47379762,DEU,778,808,Kohl V,0,1,1,6.1757778,6.7,15,18,6,3,Christlich Demokratische Union,Christian Democratic Union,54,595,36.309525,10/16/94,11/17/94,1,3.4458909,0,1,0,1,1,1,672,0.40000001,0.83333331,0.4375,337,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,341
SJ,25,1,1,1995,25,5,0.54166669,0.53333336,0.4943839,ISL,158,1342,Oddsson II,0,1,1,6.9444444,,6,11,6,2,Sj_lfst__isflokkurinn,Independence Party,56,82,39.682541,4/8/95,4/13/95,1,3.9492538,0,0,1,1,1,1,63,0.38461539,0.54545456,0.3968254,32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40
CSV,19,1,1,1999,19,3,0.38461539,0.40000001,0.37912375,LUX,196,1234,Juncker II,0,1,1,6.7105263,,12,19,6,2,Chrschtlech Sozial Vollekspartei _ Parti populaire chr_tien social _ Christlich Soziale Volkspartei,Christian Social People's Party,7,299,31.666666,6/13/99,8/7/99,0,4.3373494,0,0,1,1,1,1,60,0.33333334,0.63157892,0.31666666,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34
PCP,13,0,0,1995,13,1,0.16666667,0.16666667,0.12469753,PRT,265,514,Guterres I,0,0,0,2.9222222,,0,21,5,1,Partido Comunista Portugus,Portuguese Communist Party,63,216,5.652174,10/1/95,10/28/95,1,2.5572851,1,0,0,0,0,0,230,0.2,0,0.05652174,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
DLP,4,1,0,1992,4,1,0.06666667,0.057142857,0.033758767,IRL,748,1580,Reynolds II,0,0,0,1.8888889,,0,16,7,2,Democratic Left,Democratic Left,37,359,2.4096386,11/25/92,1/12/93,0,3.4969542,0,1,0,0,0,0,164,0.06666667,0,0.024390243,83,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
PDS,17,0,0,1990,17,1,0.16666667,0.16666667,0.1325684,DEU,862,791,Kohl IV,0,0,0,1.1830556,,0,20,6,3,Partei des Demokratischen Sozialismus,Party for Democratic Socialism,54,445,2.5679758,12/2/90,1/18/91,1,3.1724627,0,1,0,0,0,0,654,0.2,0,0.025993884,328,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
F,13,1,0,1991,13,1,0.16666667,0.16666667,0.14177749,ISL,640,1455,Oddsson I,0,0,0,3.8888889,,0,11,5,2,Frams_knarflokkurinn,Progressive Party,56,274,20.63492,4/20/91,4/30/91,1,3.7764034,0,0,0,0,0,1,63,0.2,0,0.20634921,32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
A,7,1,0,1995,7,2,0.125,0.13333334,0.11742493,ISL,158,228,Oddsson II,0,0,0,4.4444444,,0,11,6,2,Al___uflokkurinn,Social Democratic Party,56,82,11.111111,4/8/95,4/13/95,1,3.9492538,0,0,0,0,0,0,63,0.15384616,0,0.11111111,32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
CDU/CSU,248,0,0,2002,248,1,0.33333334,0.33333334,0.30080825,DEU,529,808,Schroeder II,0,0,0,6.1757778,6.7,0,14,6,2,Christlich Demokratische Union,Christian Democratic Union,54,385,31.509121,9/22/02,10/22/02,1,3.376034,0,1,0,0,0,0,603,0.33333334,0,0.41127694,302,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
VAS,20,1,0,1999,20,3,0.040909089,0.04404762,0.041092318,FIN,352,1427,Lipponen II,0,1,0,2.3719444,,1,16,10,5,Vasemmistoliitto _ V_nsterf_rbundet,Left Alliance,67,15,10,3/21/99,4/15/99,1,5.1506567,0,0,0,0,0,0,198,0.06818182,0.06666667,0.1010101,100,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,139
PVDD,2,0,0,2006,2,2,0.015495868,0.016666668,0.013557454,NLD,69,990,Balkenende IV,0,0,0,,,0,16,10,3,Partij voor de Dieren,Party for the Animals,8,578,1.3333334,11/22/06,2/22/07,1,5.5391431,0,1,0,0,0,0,150,0.014925373,0,0.013333334,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
